Folder Name	Folder Synapse ID	Release Flag
biospecimen_colon	syn25117237	Release1
clinical_demographics_colon	syn24615241	Release1
clinical_diagnosis_colon	syn24615244	Release1
clinical_exposure_colon	syn24615243	Release1
clinical_follow_up_colon	syn24615246	Release1
clinical_molecular_test_colon	syn24860582	Release1
clinical_therapy_colon	syn24615247	Release1
single_cell_RNAseq_level_1_colon	syn24181385	Release1
single_cell_RNAseq_level_2_colon	syn24181437	Release1
single_cell_RNAseq_level_3_colon	syn24181445	Release1
